,station_id,unleaded,super_unleaded,diesel,premium_diesel,station_unleaded_date,station_super_unleaded_date,station_diesel_date,station_premium_diesel_date
68,1823,144.9,,147.0,159.9,16.10.2021,,16.10.2021,13.10.2021
69,19,141.9,153.9,145.9,,16.10.2021,16.10.2021,16.10.2021,
70,1385,141.9,,142.9,,16.10.2021,,16.10.2021,
71,1830,,141.9,144.9,,,13.10.2021,14.10.2021,
72,1831,141.9,155.9,143.9,157.9,13.10.2021,13.10.2021,14.10.2021,13.10.2021
73,18,141.9,141.9,145.9,,13.10.2021,14.10.2021,14.10.2021,
74,172,137.9,143.9,139.9,,16.10.2021,11.10.2021,16.10.2021,
75,5579,,,149.9,,,,14.10.2021,
76,1,143.9,,145.9,,16.10.2021,,16.10.2021,
77,1414,144.9,,145.9,157.9,13.10.2021,,14.10.2021,13.10.2021
78,1110,137.9,147.9,141.9,149.9,16.10.2021,08.10.2021,16.10.2021,08.10.2021
79,17,141.9,,145.9,,13.10.2021,,14.10.2021,
80,1833,142.9,,145.9,,13.10.2021,,13.10.2021,
81,170,142.9,,145.9,159.9,16.10.2021,,16.10.2021,11.10.2021
82,23,,,143.9,154.9,,,14.10.2021,13.10.2021
83,176,143.9,,147.9,,13.10.2021,,13.10.2021,
84,1832,142.9,,144.9,165.9,17.10.2021,,14.10.2021,13.10.2021
85,4982,141.9,,144.9,,17.10.2021,,13.10.2021,
86,171,139.9,151.9,144.9,,13.10.2021,09.10.2021,14.10.2021,
