,name,station_id,station_location,CAR WASH,AIR & WATER,CAR VACUUM,24/7 OPENING HOURS,TOILET,CONVENIENCE STORE,ATM,PARKING FACILITIES,DISABLED TOILET/BABY CHANGE,ALCOHOL,WI-FI,HGV/PSV FUELING,FUELSERVICE,PAYPHONE,RESTAURANT,ELECTRIC CAR CHARGING,REPAIR GARAGE,SHOWER FACILITIES
20,ASDA WOKING SHEERWATER,26275,"FORSYTH ROAD, GU21 5SB",,True,True,True,,,,True,,,,,True,,,,,
21,TEXACO WOKING (MAYBURY HILL SERVICE STATION),7669,"MAYBURY HILL, GU22 8AA",,True,,,,True,True,,,True,,,,,,,,
22,JET CHESSINGTON (CHESSINGTON SERVICE STATION),1390,"HOOK ROAD, KT9 1PL",,,,,,True,,,,,,,,,,,,
23,ESSO SHEPPERTON (MFG SHEPPERTON),179,"WALTON BRIDGE ROAD, TW17 8NE",,,,,,,,,,,,,,,,,,
24,TEXACO EWELL (PARK WEST EWELL SERVICE STATION),1400,"RUXLEY LANE, KT19 9EY",,,,True,,,True,True,,,,,True,,,,,
25,SHELL HOOK ROAD (SHELL ACE OF SPADES),1354,"HOOK ROAD, KT6 5AT",True,True,,True,True,True,True,True,True,True,,True,,,,,,
26,SAINSBURYS KILN LANE,1869,"KILN LANE, KT17 1EQ",,True,True,,True,True,True,True,,True,,,,True,True,,,
27,BP LONDON ROAD (MFG PANTILES),862,"LONDON ROAD, GU4 7HR",True,,,,,True,,True,,True,,,True,,,,,
28,SAINSBURYS BURPHAM,18219,"CLAY LANE, GU4 7JU",,True,True,,,True,,True,,,,,,,,,,
29,ESSO COBHAM (MFG BEECH),881,"STOKE ROAD, KT11 3AS",True,,,,,True,,True,,,,,,,,,,
30,BP GUILDFORD ROAD (MFG SHIRLEY),9634,"GUILDFORD ROAD, KT23 4HB",,True,,True,,True,True,,,,,,,,,,True,
31,TEXACO ESHER ROAD (MOLESIDE SERVICE STATION),1317,"ESHER ROAD, KT12 4JZ",True,True,True,,,True,True,,,,,,,,,,,
32,JET WEST BYFLEET (MFG OYSTER LANE),1311,"OYSTER LANE, KT14 7JH",True,True,,,,True,,,,,,,True,,,,,
33,SHELL PORTSMOUTH ROAD (SHELL WAITROSE BURNT COMMON),3895,"PORTSMOUTH ROAD, GU23 7JY",,True,,,True,True,True,True,,True,True,,,,,,,
34,BP HERSHAM ROAD (HKS HALFWAY HOUSE),1319,"HERSHAM ROAD, KT12 5NR",True,True,True,,,True,True,,,True,,,,,,,,
35,TEXACO HERSHAM ROAD (WALTON HOUSE SERVICE STATION),183,"HERSHAM ROAD, KT12 1RZ",,True,,True,,True,True,,,,,,True,,,,,
36,SHELL OATLANDS DRIVE (SHELL WEYBRIDGE),1315,"OATLANDS DRIVE, KT13 9DJ",,,,,,,,,,,,,,,,,,
37,ESSO LONDON ROAD (RSS PIPPBROOK),3049,"LONDON ROAD, RH4 1JA",True,True,True,True,True,,True,True,,True,,,,,,,,
38,BP DORKING (DORKING SERVICE CENTRE),5527,"REIGATE ROAD, RH4 1SG",True,True,True,True,,True,True,,,True,,,,,,,,
39,ESSO STATION ROAD (MFG DOWNSIDE),9606,"STATION ROAD, GU5 9LQ",,,,,,,,,,,,,,,,,,
40,BP DORKING ROAD (WOODCOTE SF CONNECT),1397,"DORKING ROAD, KT18 7JW",,True,True,,,True,True,,,True,,,,,,,,
41,JET WOKING (COLLEGE SERVICE STATION),5866,"COLLEGE ROAD, GU22 8BT",True,True,,True,True,True,,,,,True,,,,,,,
42,TESCO ADDLESTONE EXTRA,5248,"STATION ROAD, KT15 2AS",True,True,,True,,True,True,True,,,,,,,,,,
43,SHELL HIGH STREET (SHELL OLD WOKING),6978,"HIGH STREET, GU22 9LN",,True,,,True,True,True,True,True,True,,True,True,,,,,
44,SHELL ADDLESTONE (SHELL ADDLESTONE),1306,"CHERTSEY ROAD, KT15 2ED",True,True,True,True,,True,True,,,,True,,,,,True,,
45,BP EPSOM ROAD (MERROW SF CONNECT),6228,"EPSOM ROAD, GU1 2RB",True,True,True,,,True,True,,,,,,,,,,,
46,BP SHEPPERTON (SHEPPERTON SF CONNECT),1209,"HIGH STREET, TW17 9AU",,True,,True,True,True,True,,True,True,True,,,,True,,,
47,TEXACO TATTENHAM CRESCENT (TATTENHAM CORNER SERVICE STATION),1818,"TATTENHAM CRESCENT, KT18 5QJ",,,,,,,,,,,,,,,,,,
48,TEXACO SHELVERS HILL (MFG TADWORTH),1819,"SHELVERS HILL, KT20 5PU",,True,,,,True,True,,,,,,,,,,,
49,SHELL PORTSMOUTH ROAD (MFG LONG DITTON),190,"PORTSMOUTH ROAD, KT7 0XF",True,True,,True,,True,True,,,True,,True,True,,,True,,
50,ASDA BURGH HEATH AUTOMAT,26230,"REIGATE ROAD, KT20 5NZ",True,True,True,True,True,True,True,True,True,True,,,,,,True,,True
51,SHELL BANSTEAD (SHELL WAITROSE BURGH HEATH),1825,"BRIGHTON ROAD, KT20 6AA",,True,,True,True,True,True,True,True,True,,,,,,True,,
52,ESSO EPSOM (EWELL EXPRESS),1402,"REIGATE ROAD, KT17 1PG",True,True,,,,True,True,True,,True,,,,,,,,
53,SHELL EPSOM (SHELL ETWELLE),1388,"EWELL BYPASS, KT17 2PU",,,,,,,,,,,,,,,,True,,
54,BP LONDON ROAD (EWELL SF CONNECT),1387,"LONDON ROAD, KT17 2PT",True,True,True,True,True,True,True,True,,,,,,,,,,
55,SHELL EWELL (KINGSTON ROAD SERVICE STATION),1389,"KINGSTON ROAD, KT19 0SH",,True,,,,True,True,,,,,,True,,,,,
56,ESSO CHEAM (CHEAM EXPRESS),1386,"MALDEN ROAD, SM3 8HB",,True,,,,True,True,True,,True,,,,,,,,
57,ESSO SURBITON (TOLWORTH EXPRESS),1355,"THE BROADWAY, KT6 7DQ",,True,,True,,True,True,True,,,,,,,,,,
