,name,station_id,station_location,CAR WASH,AIR & WATER,CAR VACUUM,24/7 OPENING HOURS,TOILET,CONVENIENCE STORE,ATM,PARKING FACILITIES,DISABLED TOILET/BABY CHANGE,ALCOHOL,WI-FI,HGV/PSV FUELING,FUELSERVICE,PAYPHONE,RESTAURANT,ELECTRIC CAR CHARGING,REPAIR GARAGE,SHOWER FACILITIES
173,SHELL FELTHAM (SHELL SUNBURY),1237,"COUNTRY WAY, TW13 6QN",,,,,,True,True,,,,,,,,,,,
174,BP EAST MOLESEY (HAMPTON COURT SF CONNECT),1327,"HAMPTON COURT WAY, KT8 9AE",,True,,,True,True,True,True,,,,,,,,,,
175,ESSO STAINES ROAD WEST (MFG HERDS GARAGE),1210,"STAINES ROAD WEST, TW15 1RZ",True,True,,True,True,True,,,,,,,True,,,True,,
176,ESSO HOUNSLOW ROAD (MFG JOLLY SAILOR),1426,"HOUNSLOW ROAD, TW13 6QA",,,,,,,,,,,,,,,,,,
177,BP STAINES ROAD WEST (ASHFORD SF CONNECT),1211,"STAINES ROAD WEST, TW15 1RA",True,True,True,True,True,True,True,True,,True,,,True,,,,,
178,SAINSBURYS ST CLARES,1427,"UXBRIDGE ROAD, TW12 1AW",True,True,True,,True,True,True,,True,True,,,True,,True,,,
179,TESCO FELTHAM,17585,"HIGH STREET, TW13 4EX",True,True,True,True,,True,,True,,,,,,,,,,
180,SHELL STAINES ROAD (SHELL HOSPITAL BRIDGE),1431,"STAINES ROAD, TW2 5JA",True,True,,,,True,True,,,,,,,,,,,
181,ESSO TWICKENHAM (MFG STAINES ROAD),1432,"STAINES ROAD, TW2 5AW",True,,True,,,True,True,,,,,,True,,,,,
182,SHELL ASHFORD (SHELL ASHFORD MANOR),1223,"FORDBRIDGE ROAD, TW15 3RX",True,True,True,,True,True,True,,True,True,,,,,,,,
183,BP CHERTSEY (CHERTSEY SERVICE STATION),1216,"BRIDGE ROAD, KT16 8LA",,True,,True,,True,True,,,,,,,,,,,
184,ESSO CLOCKHOUSE LANE (CLOCKHOUSE SERVICE STATION),1225,"CLOCKHOUSE LANE, TW14 8RD",True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,
185,JET FELTHAM (BARBERBRIDGE SERVICE STATION),1230,"STAINES ROAD, TW14 0HW",True,True,True,True,,True,True,,,True,,,True,True,,,,
186,SHELL RICHMOND ROAD (SHELL KINGSTONIAN),197,"RICHMOND ROAD, KT2 5HD",,True,,,,True,True,True,,True,,,,,,,,
187,TESCO ASHFORD MIDDLESEX,12298,"TOWN LANE, TW19 7PZ",True,True,True,True,True,True,,True,,,,,True,,,,,
188,BP KINGSTON-UPON-THAMES (HAM CROSS SERVICE STATION),1434,"RICHMOND ROAD, KT2 5QU",True,True,True,True,,True,,,,True,,,,True,,,,
189,SAINSBURYS CHERTSEY,1218,"HERIOT ROAD, KT16 9AG",,True,,,True,True,,True,,,,,,,,,,
190,BP FELTHAM (MFG HATTON CROSS),1226,"GREAT SOUTH WEST ROAD, TW14 0PR",True,True,True,True,True,True,True,True,True,,,,True,True,True,,,
191,TESCO TWICKENHAM EXTRA,1895,"MOGDEN LANE, TW7 7JY",,True,True,,,True,True,True,,True,,,,,,,,
192,ESSO BEDFONT ROAD (MFG STANWELL),3331,"BEDFONT ROAD, TW19 7LU",,,,True,,,True,,,True,,,,,,,,
193,GULF FELTHAM (BEDFONT LANE SERVICE STATION),12295,"BEDFONT LANE, TW14 9NJ",,,,,,,,,,,,,,,,,,
194,ESSO STAINES ROAD (MFG BEDFONT),1227,"STAINES ROAD, TW14 8PA",,True,True,,True,True,True,True,,,,,True,True,,,,
195,TESCO FELTHAM DUKES GREEN,17587,"DUKES GREEN AVENUE, TW14 0LT",True,True,True,True,,True,True,True,,,,,,,,,,
196,ESSO STAINES ROAD (MFG HOUNSLOW),1240,"STAINES ROAD, TW4 5BD",,True,,True,,True,True,,,,,,,True,,,,
197,SHELL RICHMOND ROAD (SHELL OAK LANE),1436,"RICHMOND ROAD, TW1 3AB",True,True,,,True,True,,,,,,,,,,,,
198,SHELL LONDON ROAD (SHELL KINGSTON HILL),199,"LONDON ROAD, KT2 6PQ",,,,,,,,,,,,,,,,,,
199,SHELL STAINES (SHELL STAINES),1207,"LONDON ROAD, TW18 4HN",True,True,True,,True,True,True,,,True,True,,True,True,,,True,
200,BP NEW MALDEN (MFG ROSE COTTAGE),1358,"KINGSTON ROAD, KT3 3NS",True,True,,,,True,True,,,,,,,,,,,
201,ESSO ROBIN HOOD WAY (MFG ROBIN HOOD NORTH),1366,"ROBIN HOOD WAY, SW20 0AB",,,,,,,,,,,,,,,,,,
202,TESCO NEW MALDEN EXTRA,1365,"BEVERLEY WAY, KT3 4PJ",True,True,True,True,True,True,True,True,,True,,,True,,True,,True,
203,SHELL WORPLE ROAD (SHELL PEPYS CORNER),1363,"WORPLE ROAD, SW20 8RE",,,,,True,,,,,,,,,,,,,
204,CO-OP ROEHAMPTON VALE,1374,"ROEHAMPTON VALE, SW15 3DX",,,,,,True,,,,,,,,,,,,
205,SHELL MORDEN (SHELL SOUTH MERTON),1382,"MARTIN WAY, SM4 4AW",,,,,,,,,,,,,,,,,,
206,BP KINGSTON ROAD (WIMBLEDON CHASE SF CONNECT),205,"KINGSTON ROAD, SW20 8LR",,,,,,,,,,True,,,,,,,,
207,SHELL SHEEN ROAD (SHELL BLACKHORSE),7254,"SHEEN ROAD, TW9 1XD",,True,,,True,True,True,,,,,,True,,,,,
208,SAINSBURYS RICHMOND,18398,"LOWER RICHMOND ROAD, TW9 4LT",,True,True,,,True,True,True,,,,True,True,,,True,,
209,BP LOWER MORTLAKE ROAD (BEACON FILLING STATION),80,"LOWER MORTLAKE ROAD, TW9 2LL",,True,,True,,True,,,,,,,True,,,,,
210,ESSO MERTON ROAD (WIMBLEDON EXPRESS),208,"MERTON ROAD, SW19 1EQ",,,,,,True,,True,,,,,,,,,,
211,ESSO NEW MALDEN (MFG KINGSTON),1362,"MALDEN WAY, KT3 6HF",True,True,True,True,True,True,True,True,True,True,True,,True,True,,,,
212,SHELL ROEHAMPTON LANE (SHELL WAITROSE ROEHAMPTON),1369,"ROEHAMPTON LANE, SW15 4LB",,True,,True,True,True,True,,True,True,,,,,,,,
213,TEXACO UPPER RICHMOND ROAD WEST (EAST SHEEN SERVICE STATION),8079,"UPPER RICHMOND ROAD WEST, SW14 7ED",,,True,,,,,,,,,,,,,,,
214,SHELL ISLEWORTH (MFG ISLEWORTH),1423,"TWICKENHAM ROAD, TW7 7ES",True,,True,,,,True,,,,,,,,,,,
215,SHELL LOWER RICHMOND ROAD (SHELL RICHMOND),81,"LOWER RICHMOND ROAD, TW9 4LJ",True,True,True,,,True,True,,,,,,True,,,,,
216,ESSO SHEEN LANE (MFG MORTLAKE),8080,"SHEEN LANE, SW14 8LW",,,,,,,,,,,,,True,,,,,
217,ESSO MITCHAM (MFG WANDLE),1412,"BISHOPSFORD ROAD, SM4 6AP",,,,,,,,,,,,,,,,,,
218,SAINSBURYS MERTON,1870,"MERANTUN WAY, SW19 1DD",,True,True,True,True,True,,True,,,,,True,,,,True,
219,SHELL WESTERN ROAD (SHELL WESTERN ROAD),1179,"WESTERN ROAD, SW19 2QD",,True,,True,,True,True,,,True,,,True,,,,,
220,ESSO HIGH STREET (COLLIERS WOOD EXPRESS),1178,"HIGH STREET, SW19 2BN",,,,True,True,True,True,,,,,,True,,,,,
221,SHELL PLOUGH LANE (SHELL PLOUGH LANE),4578,"PLOUGH LANE, SW17 0BW",,,,,True,True,True,,,,,,True,,,,,
222,ESSO GARRATT LANE (RSS GARRATT LANE),1184,"GARRATT LANE, SW17 0NP",True,True,,True,,True,True,,,True,,,,,,,,
223,SHELL ROWAN ROAD (MFG ROWAN ROAD),7241,"ROWAN ROAD, SW16 5JF",True,True,,,,True,,,,,,,,,,,,
224,BP MITCHAM ROAD (RSS FERNSIDE),1112,"MITCHAM ROAD, CR0 3AB",True,,,,,True,,,,,,,,,,,,
225,BP TRINITY ROAD (TRINITY SF CONNECT),1156,"TRINITY ROAD, SW17 7HW",True,True,True,,,True,True,,,,,,,,,,,
226,SHELL MERTON ROAD (HKS RIVERSDALE),1187,"MERTON ROAD, SW18 5JS",,True,,,,True,,,,,,,,,,,,
227,ESSO BALHAM HIGH ROAD (BALHAM EXPRESS),12483,"BALHAM HIGH ROAD, SW17 7BQ",,,,,,,,,,,,,,,,,,
228,UNBRANDED STREATHAM HIGH ROAD (STREATHAM COMMON SERVICE STATION),219,"STREATHAM HIGH ROAD, SW16 3BS",True,True,,,,True,True,,,True,,,,,,,,
229,TOTAL LONDON (TOTAL NORBURY),1867,"LONDON ROAD, SW16 4DH",,,,True,,,,,,,,,,,,,True,
230,TESCO NORBURY EXPRESS,1102,"LONDON ROAD, CR7 7ND",,True,,True,,True,True,,,,,,True,,,,,
231,ESSO THORNTON HEATH (NEW PARK EXPRESS),1104,"LONDON ROAD, CR7 6JH",,,,,,,,,,,,True,True,,,,,
232,ESSO STERNHOLD AVENUE (MFG STREATHAM),1173,"STERNHOLD AVENUE, SW2 4PB",True,True,True,,,True,True,,,,,,,,,,,
233,SHELL WEST HILL (MFG PUTNEY),1373,"WEST HILL, SW15 2UE",True,True,True,True,True,True,True,,,,,,,,,,,
234,SAINSBURYS BALHAM,1157,"NIGHTINGALE LANE, SW12 8SY",,True,,,True,True,True,True,True,True,,,,,,True,,
235,SHELL BALHAM HILL (SHELL BALHAM),1152,"BALHAM HILL, SW12 9DP",,True,,True,True,,,,True,,True,,,,,,,
236,SAINSBURYS CRYSTAL PALACE,138,"WHITEHORSE LANE, SE25 6XB",,True,,True,,True,,,,,,,,,,,,
237,SHELL WHITEHORSE ROAD (SHELL GLOSTER),137,"WHITEHORSE ROAD, CR0 2LG",,True,,True,True,True,True,,,,,,,,,,,
238,BP SOUTH NORWOOD HILL (MFG SOUTH NORWOOD),140,"SOUTH NORWOOD HILL, SE25 6BS",True,True,True,True,,True,True,,,True,,,,,,,,
239,SHELL PORTLAND ROAD (SHELL SOUTH NORWOOD),142,"PORTLAND ROAD, SE25 4UX",,,,,True,True,True,,,,,,True,,,,,
240,BP ANERLEY ROAD (CORNWALL LODGE SERVICE STATION),1171,"ANERLEY ROAD, SE20 8AP",,True,,True,,True,True,,,,,,,,,,True,
241,SHELL GIPSY HILL (SHELL GYPSY HILL),1170,"GIPSY HILL, SE19 1PL",,True,,,True,True,True,,,True,,True,,,,,,
242,SHELL CRYSTAL PALACE PARADE (SHELL CRYSTAL PALACE),1079,"CRYSTAL PALACE PARADE, SE19 1UN",,True,,True,,True,True,,,,,,True,,,,,
243,TESCO ELMERS END,1129,"CROYDON ROAD, BR3 4AA",,True,True,True,True,True,True,True,,True,True,,True,,True,,,
244,TEXACO NORWOOD ROAD (WEST NORWOOD SERVICE STATION),54,"NORWOOD ROAD, SE27 9AF",True,True,True,True,,True,True,,,,,,True,,,,,
245,SHELL BECKENHAM (SHELL BECKENHAM),148,"BECKENHAM ROAD, BR3 4RH",True,True,True,,True,True,,,,True,True,,,,,True,,
246,BP BECKENHAM (PARK BECKENHAM SERVICE STATION),151,"CROYDON ROAD, BR3 3PR",True,,,,,True,,,,,,,,,,,,
247,SAINSBURYS SYDENHAM,9188,"BELL GREEN, SE26 4PU",True,True,True,,,True,,,,,,,,,,,,
248,TEXACO KNIGHTS HILL (PARK KNIGHTS HILL SERVICE STATION),1169,"KNIGHTS HILL, SE27 0QP",,,,,,True,,,,True,,,,,,,,
249,JET CROYDON ROAD (FIVE STAR SERVICE STATION),1172,"CROYDON ROAD, SE20 7AE",,,,,,,,,,,,,,,,,,
250,ESSO LEIGHAM COURT ROAD (MFG STREATHAM),224,"LEIGHAM COURT ROAD, SW16 2RW",,True,,True,,True,True,,,True,,,,,,,,
251,BP KIRKDALE (PARK SYDENHAM MOTOR COMPANY),1080,"KIRKDALE, SE26 4QD",True,True,,,,,,,True,,True,,True,,,True,,
252,ESSO LONDON ROAD (FORESTHILL EXPRESS),51,"LONDON ROAD, SE23 3PE",,,,,,True,True,,,True,,,,,,,,
253,TEXACO CROXTED ROAD (CROXTED MOTORS),48,"CROXTED ROAD, SE24 9DG",,,,,,,,,,,,,,,,,,
254,ESSO A204 (TULSE HILL EXPRESS),56,"A204, SW2 2QB",,,,,,,,,,,,,,,,,,
255,BP STANSTEAD ROAD (MFG FOREST HILL),1082,"STANSTEAD ROAD, SE23 1HP",,,,,,,,,,,,,,,,,,
256,ESSO BROMLEY ROAD (MFG SHORTLANDS),156,"BROMLEY ROAD, BR3 6PG",,True,,,,True,,True,,True,,,,,,,,
257,SHELL BROMLEY HILL (SHELL HILLBROW),157,"BROMLEY HILL, BR1 4JU",,,,,,,,,,,,,,,,,,
258,BP WIDMORE ROAD (WIDMORE GREEN SF CONNECT),161,"WIDMORE ROAD, BR1 3AX",,,,,,,,,,,,,,,,,,
259,BP BROMLEY ROAD (DOWNHAM SF CONNECT),1054,"BROMLEY ROAD, BR1 4PJ",,True,,,,True,,True,,True,,,,,,,,
260,ESSO BARING ROAD (GROVE PARK EXPRESS),1055,"BARING ROAD, SE12 0DU",True,True,,,True,True,True,True,,True,,,True,,,,,
261,ESSO BROWNHILL ROAD (RSS CATFORD),8022,"BROWNHILL ROAD, SE6 1AA",,,,,,,,,,,,,,,,,,
262,SHELL SIDCUP ROAD (SHELL SIDCUP),1039,"SIDCUP ROAD, SE9 3AL",True,True,,True,True,True,,,,True,,,,,,True,,
263,BP CHISLEHURST (PERRY STREET SF CONNECT),1038,"PERRY STREET, BR7 6HB",,True,,,,,,,,,,,,,,,,
264,SHELL VERDANT LANE (MFG CATFORD),1857,"VERDANT LANE, SE6 1TP",,True,True,True,,True,True,,,True,,,,,,,,
265,BP MOTTINGHAM ROAD (MOTTINGHAM SF CONNECT),1035,"MOTTINGHAM ROAD, SE9 4QN",True,True,,True,True,True,True,True,,True,,,,,,,,
266,SHELL SIDCUP ROAD (SHELL MOTTINGHAM),1037,"SIDCUP ROAD, SE9 3AF",True,True,,,True,,True,,,,,,,,,,,
267,SHELL LEWISHAM HIGH STREET (MFG LEWISHAM),17980,"LEWISHAM HIGH STREET, SE13 6NZ",True,True,,True,True,,True,,,,,,,,,,,
268,ESSO SIDCUP ROAD (CLIFTON LEE EXPRESS),217,"SIDCUP ROAD, SE12 8BL",,True,,,True,True,True,True,,True,,,,,,,,
269,TEXACO SIDCUP ROAD (LEE SERVICE STATION),216,"SIDCUP ROAD, SE12 8BL",,,,,,,,,,,,,,,,,,
270,BP LEE HIGH ROAD (LEE SF CONNECT),213,"LEE HIGH ROAD, SE13 5PQ",,,,,,,,,,,,,,,,,,
271,SHELL FOOTSCRAY ROAD (MFG FOOTSCRAY),1060,"FOOTSCRAY ROAD, SE9 2TD",True,True,True,,,,True,,,,,,,,,True,,
272,ESSO ELTHAM HIGH STREET (ELTHAM HIGH STREET EXPRESS),1034,"ELTHAM HIGH STREET, SE9 1DH",,,,,,,,,,,,,,,,,,
273,UNBRANDED SIDCUP (W J KING GARAGES SIDCUP),1059,"MAIN ROAD, DA14 6PA",,True,,True,,,,,,,,,,,,,True,
274,UNBRANDED BEXLEY (W J KING GARAGES BEXLEY),11857,"STEYNTON AVENUE, DA5 3HP",,,,,,,,,,,,,,,,,,
275,SHELL SIDCUP (SHELL BLENDON),1020,"BLACKFEN ROAD, DA15 9NT",,,,,,,,,,,,,,,,,,
276,BP BEXLEY ROAD (CROWNWOOD SF CONNECT),1025,"BEXLEY ROAD, SE9 2NL",True,True,True,True,True,True,True,True,,True,,,,,,,,
277,SAINSBURYS ELTHAM,1024,"FOOTSCRAY ROAD, SE9 2SA",,True,,,,True,,,,,,,,,,,,
278,UNBRANDED WELLING (W J KING GARAGES WELLING),1005,"PARK VIEW ROAD, DA16 1SF",,,,,,,,,,,,,,,,,,
279,ESSO BEXLEYHEATH (MFG BROADWAY),1007,"BROADWAY, DA6 8AS",,,,,,,,,,,,,,,,,,
280,SHELL WELLING (SHELL BUDGENS BELLEGROVE),1021,"BELLEGROVE ROAD, DA16 3QS",True,,,,,True,True,True,,,,,True,,,True,,
281,JET WELL HALL ROAD (MFG WELL HALL),1023,"WELL HALL ROAD, SE9 6SX",True,True,,,,True,,True,,,,,,,,,,
282,TEXACO WELLING (ANCHOR SERVICE STATION),1022,"BELLEGROVE ROAD, DA16 3RW",,True,,,,True,,,,True,,,,,,,,
283,SAINSBURYS CRAYFORD,1016,"STADIUM WAY, DA1 4HW",,True,,,,True,,,,,,,,,,,,
284,SHELL BEXLEYHEATH (MFG BEXLEYHEATH),1009,"LONG LANE, DA7 5AH",,,,,,,,,,,,,,,,,,
285,UNBRANDED BEXLEYHEATH (W J KING GARAGES BEXLEYHEATH),1008,"LONG LANE, DA7 5AQ",,,,,,,,,,,,,,,,,,
286,ESSO PRINCES ROAD (RSS WINSTON),130,"PRINCES ROAD, DA1 2PZ",,,,,,,,,,,,,,,,,,
287,BP PRINCES ROAD (MFG ELMS),132,"PRINCES ROAD, DA1 1RB",True,True,True,True,True,True,True,,,,,,,,,,,
288,BP PRINCES ROAD (RSS DARTFORD),127,"PRINCES ROAD, DA1 1YT",,True,,True,,True,True,,,True,,True,True,,,,,
289,ESSO DARTFORD ROAD (DARTFORD EXPRESS),129,"DARTFORD ROAD, DA1 3EN",,,,,,,,,,,,,,,,,,
290,SHELL LONDON ROAD (SHELL INVICTUS),17508,"LONDON ROAD, DA2 6AS",,,,,,,,,,,,,,,,,,
291,SHELL BURNHAM ROAD (SHELL BURNHAM ROAD),125,"BURNHAM ROAD, DA1 5BN",True,True,True,True,True,True,True,,,,,True,True,,,,,
292,SHELL ERITH (SHELL ERITH),1014,"NORTHEND ROAD, DA8 3RF",,True,,True,True,True,,,,,,True,,,,,,
293,ASDA GREENHITHE,25051,"STATION ROAD, DA9 9BT",True,True,,,True,,True,True,,,,,True,,,,,True
294,ESSO GREENHITHE (RSS GREENHITHE),2241,"LONDON ROAD, DA9 9EJ",,,,,,,,,,,,,,,,,,
295,BP ERITH (MFG ERITH),1011,"BEXLEY ROAD, DA8 3EX",True,True,True,True,True,True,True,,True,True,True,True,,,True,,,
296,GULF ERITH (BELMONT SERVICE STATION),1012,"BELMONT ROAD, DA8 1LB",,,,,,,,,,,,,,,,,,
297,MORRISONS ERITH,18002,"JAMES WATT WAY, DA8 2AH",True,True,True,,,True,,True,,,,True,,,,,,
298,SAINSBURYS PEPPER HILL,8871,"WINGFIELD BANK, DA11 8JH",True,True,True,True,,True,True,True,,True,,,True,,True,,,
299,TEXACO GRAYS (LONDON ROAD SERVICE STATION),1559,"LONDON ROAD, RM20 3JT",,,,,,,,,,,,,,,,,,
300,SHELL STONEBRIDGE ROAD (SHELL NORTHFLEET),3706,"STONEBRIDGE ROAD, DA11 9BJ",True,True,,True,,True,True,True,,,,,,,,,,
301,ESSO PURFLEET (MFG MEADS),1558,"ARTERIAL ROAD, RM19 1TS",,,,,,,,,,,,,,,,,,
302,TESCO HAYES BULLS BRIDGE EXTRA,1270,"HAYES ROAD, UB2 5LN",True,True,True,True,True,True,True,,,,,,True,True,,,,
303,BP SOUTHALL (MFG HAYES),1271,"HAYES ROAD, UB2 5LZ",True,True,,True,,True,,,,,,,,,,,,
304,M4 HESTON MOTO MOTORWAY SERVICE AREA WESTBOUND,12283,"M4 J2-3, TW5 9NB",,,,,,,,,,,,,,,,,,
305,ESSO NORTH HYDE ROAD (SOUTH HAYES EXPRESS),1302,"NORTH HYDE ROAD, UB3 4NE",,True,,True,,True,True,True,,,,,True,True,,,,
306,M4 HESTON MOTO MOTORWAY SERVICE AREA EASTBOUND,6591,"M4 J2-3, TW5 9NB",,,,,,,,,,,,,,,,,,
307,ASDA HAYES AUTOMAT,26131,"MILLINGTON ROAD, UB3 4AZ",True,True,,True,True,True,True,True,True,True,,True,True,True,,,,
308,SAINSBURYS HAYES,1291,"COLDHARBOUR LANE, UB3 3EX",True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
309,SHELL HOUNSLOW (HESTON SERVICE STATION),1253,"HESTON ROAD, TW5 0RG",,,,,,,,,,,,,,,,,,
310,BP BATH ROAD (CRANFORD SF CONNECT),1250,"BATH ROAD, TW5 9BA",True,True,True,True,True,True,True,True,,,,True,,True,,True,,
311,TESCO YEADING EXTRA,1880,"GLENCOE ROAD, UB4 9SQ",True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,
312,TEXACO HOUNSLOW (HOUNSLOW SERVICE STATION),1247,"GREAT WEST ROAD, TW5 9AN",True,True,True,True,True,True,True,True,,,,True,True,True,,,,
313,ESSO SOUTHALL (MFG SOUTHALL),1266,"UXBRIDGE ROAD, UB1 3DD",True,True,True,True,True,,True,,,,,,True,,,,,
314,ESSO SHEPISTON LANE (HEATHROW NORTH SERVICE STATION),1305,"SHEPISTON LANE, UB3 1LL",True,True,True,True,,True,,,,,,,,,True,,,
315,BP GREAT WEST ROAD (RAVENSCROFT SF CONNECT),1244,"GREAT WEST ROAD, TW5 0BT",,,,,,,,,,,,,,,,,,
316,BP GREENFORD ROAD (GREENFORD PARK SERVICE STATION),1263,"GREENFORD ROAD, UB6 9BA",True,True,,True,,,,,,,,,,,,,,
317,ESSO WEST DRAYTON (RSS HARLINGTON),1260,"BATH ROAD, UB3 5AY",,,,,,,,,,,,,,,,,,
318,SHELL NORTHOLT (SHELL BUDGENS YEADING),1275,"YEADING LANE, UB5 6LN",,,,True,,,,,,,,,,,,,,
319,ESSO GREENFORD (MEAD SERVICE STATION),1267,"RUISLIP ROAD, UB6 9RP",,,,,,,,,,,,,,,,,,
320,GULF UXBRIDGE (COLHAM GREEN SELF SERVE),4673,"COLHAM GREEN ROAD, UB8 3JY",,,,,,,,,,,,,,,,,,
321,ESSO BOSTON ROAD (MFG STUDLEY GRANGE),698,"BOSTON ROAD, W7 3QJ",,,,,,,,,,,,,,,,,,
322,SHELL CHURCH ROAD (HANWELL SERVICE STATION),703,"CHURCH ROAD, W7 1DR",,,,,,,,,,,,,,,,,,
323,CO-OP LEES CORNER,1293,"UXBRIDGE ROAD, UB10 0NZ",True,True,,,,True,True,,,True,,,,,,,,
324,MURCO HILLINGDON (MORGANS GARAGE),1294,"PIELD HEATH ROAD, UB8 3NG",,,,,,,,,,,,,,,,,,
325,GULF WEST DRAYTON (WEST DRAYTON SERVICE STATION),11533,"STATION ROAD, UB7 7ND",True,,,,,True,,,,,True,,True,,,,,
326,SHELL HOLLOWAY LANE (SHELL WEST DRAYTON),1258,"HOLLOWAY LANE, UB7 0AE",True,True,True,True,True,True,True,True,True,True,,,,,,True,,
327,ASDA NORTHOLT WESTERN AVENUE PFS,1277,"TARGET ROUNDABOUT, UB5 5AW",True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
328,BP HILLINGDON (HILLINGDON SF CONNECT),1278,"LONG LANE, UB10 0LQ",True,True,True,True,,True,True,True,,True,,,True,,,,,
329,TESCO OSTERLEY EXTRA,1252,"SYON LANE, TW7 5NZ",True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
330,SHELL BRENTFORD (SHELL GILLETTE CORNER),1251,"GREAT WEST ROAD, TW7 5NG",,True,,True,,True,,,,,,,,,,,,
331,SHELL GREENFORD (SHELL ROUNDABOUT),1262,"GREENFORD ROAD, UB6 8QQ",,,,,,,,,,,,,,,,,,
332,BP MANDEVILLE ROAD (MANDEVILLE SERVICE STATION),1276,"MANDEVILLE ROAD, UB5 5BH",True,True,,True,True,,True,,,,,True,True,,,,,
333,JET WEST DRAYTON (MFG MILL ROAD),1297,"MILL ROAD, UB7 7EQ",True,True,,,,True,True,,,,,,,,,,,
334,BP WESTERN AVENUE (GREENFORD ROUNDABOUT FILLING STATION),1332,"WESTERN AVENUE, UB6 8EU",,,,,,,,,,,,,,,,,,
335,SHELL HIGH STREET (SHELL YIEWSLEY),1299,"HIGH STREET, UB7 7QP",True,True,True,True,True,True,True,,,True,,,True,,,,,
336,SHELL COLNBROOK BYPASS (SHELL HEATHROW),12324,"COLNBROOK BYPASS, UB7 0HB",True,True,True,True,True,True,True,,,True,,,,,,,,
337,SHELL RUISLIP (SHELL NORTHOLT),632,"WEST END ROAD, HA4 6QQ",True,True,True,,,True,True,,,True,,,,,,,,
338,SAINSBURYS SOUTH RUISLIP,18334,"LONG DRIVE, HA4 0HQ",True,True,,,True,True,True,True,,True,,,True,,,,True,
339,BP WESTERN AVENUE (PERIVALE SF CONNECT),1879,"WESTERN AVENUE, UB6 8TF",True,True,,True,,True,True,True,,,,,,,,,,
340,ESSO HIGH ROAD (COWLEY EXPRESS),1300,"HIGH ROAD, UB8 2HS",,True,,,,True,True,True,,,,,,,,,,
341,ESSO SOUTH EALING ROAD (TRIANGLE SERVICE STATION),700,"SOUTH EALING ROAD, W5 4QT",,,,,True,,,,,,True,True,,,,,True,
342,ASDA SOUTH RUISLIP AUTOMAT,26263,"OLD DAIRY LANE, HA4 0EF",True,True,True,True,True,True,True,True,True,True,True,,,,True,True,True,
343,BP GUNNERSBURY AVENUE (GUNNERSBURY PARK SF CONNECT),76,"GUNNERSBURY AVENUE, W5 4LR",,,,,,,,,,,,,,,,,,
344,ESSO GREAT WEST ROAD (RSS THE DOME),77,"GREAT WEST ROAD, TW8 9AD",True,True,True,,,True,True,,,,,,,,,,,
345,JET BRENTFORD (BRENTFORD SERVICE STATION),79,"HIGH STREET, TW8 0DU",True,True,,True,,True,,,,,,,,,True,,,
346,ESSO GREAT WEST ROAD (RSS CHISWICK FLYOVER),89,"GREAT WEST ROAD, W4 5QJ",,True,,True,True,True,True,True,,,,,,,True,,,
347,ESSO UXBRIDGE ROAD (ACTON EXPRESS),17619,"UXBRIDGE ROAD, W3 9RH",,,,,,,,,,,,,,,,,,
348,SHELL HANGER LANE (SHELL WAITROSE EALING),66,"HANGER LANE, W5 3HJ",,,,,,,,,,,,,,,,,,
349,BP SOUTH PARADE (MFG CHISWICK),97,"SOUTH PARADE, W4 5LG",True,True,True,True,,True,True,True,,,,,,,,True,,
350,BP HORN LANE (HORN LANE FILLING STATION),68,"HORN LANE, W3 6PH",,,,,,,,,,,,,,,,,,
351,SHELL THE VALE (MFG ACTON PARK),73,"THE VALE, W3 7QS",True,True,True,True,,True,True,,,,,,,,,,,
352,SHELL WESTERN AVENUE (SHELL PARK ROYAL),1721,"WESTERN AVENUE, W3 0PA",,True,True,True,True,True,True,,,,,,,,,,,
353,BP WESTERN AVENUE (WESTERN AVENUE SF CONNECT),1722,"WESTERN AVENUE, W3 0TE",True,True,True,True,True,True,True,True,True,True,,,,,,,,
354,SHELL THE VALE (MFG ACTON VALE),72,"THE VALE, W3 7RS",True,True,,,,True,True,,,,,,,,,,,
355,ASDA PARK ROYAL AUTOMAT,1877,"PARK ROYAL ROAD, NW10 7LW",,True,,True,,,,True,,,,,,,,,,
356,SHELL GOLDHAWK ROAD (SHELL HAMMERSMITH),96,"GOLDHAWK ROAD, W6 0XF",True,,,,,,,,,,,,,,,,,
357,ESSO EALING ROAD (ALPERTON SERVICE STATION),1333,"EALING ROAD, HA0 1JQ",True,True,True,,,True,True,,,,,,,,,,,
358,TESCO HOOVER BUILDING,1336,"WESTERN AVENUE, UB6 8DW",True,True,,True,,True,True,,True,,True,,True,,,,True,
359,SAINSBURYS ALPERTON,1334,"EALING ROAD, HA0 1PF",,True,,True,True,True,,True,True,True,True,True,True,,,,,
360,BP GREAT WEST ROAD (MFG CROMWELL ROAD NORTH),87,"GREAT WEST ROAD, W6 9TQ",,,,,,,,,,,,,,,,,,
361,BP GREAT WEST ROAD (CROMWELL ROAD SF SOUTH CONNECT),86,"GREAT WEST ROAD, W6 9TQ",True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
