,name,station_id,station_location,lat,lng,unleaded,super_unleaded,diesel,premium_diesel,station_unleaded_date,station_super_unleaded_date,station_diesel_date,station_premium_diesel_date
145,TESCO SIDCUP,1064,"EDGINGTON WAY, DA14 5BN",51.4133533,0.1217581,139.9,146.9,141.9,,15.10.2021,15.10.2021,15.10.2021,
146,BP SEVENOAKS (MFG ST JOHNS HILL),253,"ST JOHNS HILL, TN13 3NY",51.2859556,0.1953913,,142.9,147.9,,,13.10.2021,14.10.2021,
147,UNBRANDED EDENBRIDGE (FOUR ELMS FILLING STATION),7250,"FOUR ELMS ROAD, TN8 6NL",51.21463,0.0974406999999999,,,,,,,,
148,ESSO SEVENOAKS WAY (ST PAULS CRAY EXPRESS),1093,"SEVENOAKS WAY, BR5 3AQ",51.400818,0.113521,,,,,,,,
149,TEXACO CHIPPERFIELD ROAD (MFG ST PAULS CRAY),1094,"CHIPPERFIELD ROAD, BR5 2QR",51.4058074,0.10455,,,,159.9,,,,13.10.2021
150,GULF EDENBRIDGE (MILL HILL GARAGE),4627,"MILL HILL, TN8 5DQ",51.1876815,0.0681754,142.9,149.9,148.9,,13.10.2021,13.10.2021,16.10.2021,
151,ESSO SEVENOAKS (MFG BRACKENHILL),3268,"MAIDSTONE ROAD, TN15 8HG",51.290335,0.311264,143.9,159.9,149.9,165.9,15.10.2021,15.10.2021,15.10.2021,15.10.2021
152,SHELL LONDON ROAD (SHELL PILGRIMS WAY),7245,"LONDON ROAD, TN15 7RR",51.305174,0.3314938,145.9,156.9,149.9,159.9,15.10.2021,13.10.2021,15.10.2021,15.10.2021
153,UNBRANDED LONDON ROAD (STATE OIL HILDENBOROUGH SERVICE STATION),18185,"LONDON ROAD, TN11 9ND",51.2285878,0.2213741,139.9,,145.9,,15.10.2021,,15.10.2021,
154,SHELL LONDON ROAD (PARK WROTHAM HEATH SERVICE STATION),12508,"LONDON ROAD, TN15 7RX",51.2979533,0.3430962,147.9,162.9,149.9,164.9,15.10.2021,13.10.2021,15.10.2021,13.10.2021
155,JET WEST MALLING (MFG OFFHAM),4147,"LONDON ROAD, ME19 5AL",51.2977486,0.3513873,144.9,,147.9,159.9,15.10.2021,,15.10.2021,15.10.2021
156,BP TONBRIDGE ROAD (HILDEN SF CONNECT),5654,"TONBRIDGE ROAD, TN11 9BJ",51.2092888,0.2570817,143.9,,145.9,,18.10.2021,,15.10.2021,
157,TEXACO WROTHAM ROAD (CULVERSTONE SERVICE STATION),7540,"WROTHAM ROAD, DA13 0RF",51.3421922,0.3460252,144.9,,143.9,,18.10.2021,,13.10.2021,
158,SHELL SHIPBOURNE ROAD (MFG SHIPBOURNE ROAD),5653,"SHIPBOURNE ROAD, TN10 3ED",51.2052304,0.2769948,141.9,,146.9,165.9,13.10.2021,,13.10.2021,13.10.2021
159,BP HADLOW ROAD EAST (THREE ELMS SERVICE STATION),3266,"HADLOW ROAD EAST, TN11 0AB",51.2137,0.31229,,142.9,147.9,,,14.10.2021,14.10.2021,
160,SHELL LONGFIELD (LONGFIELD FILLING STATION),17457,"STATION ROAD, DA3 7QD",51.3986367,0.3006561,142.9,,145.9,,13.10.2021,,13.10.2021,
161,SAINSBURYS TONBRIDGE,9247,"ANGEL LANE, TN9 1SF",51.1922649,0.2751031,140.9,143.9,140.9,,17.10.2021,13.10.2021,13.10.2021,
162,SHELL QUARRY HILL (SHELL TONBRIDGE),4628,"QUARRY HILL, TN9 2SA",51.1879242,0.2680413,,,,,,,,
163,BP EDGINGTON WAY (BYPASS SF CONNECT),1063,"EDGINGTON WAY, DA14 5AD",51.41464,0.1252,142.9,,143.9,,16.10.2021,,14.10.2021,
164,MURCO BEXLEY (JOYDENS WOOD SERVICE STATION),1072,"SUMMERHOUSE DRIVE, DA5 2ES",51.4252068,0.1663342,143.9,,145.9,,13.10.2021,,13.10.2021,
165,PACE TONBRIDGE (FORGE GARAGE),18037,"HIGH STREET, TN11 8BU",51.16946799999999,0.2360661,,,,,,,,
166,BP WEST MALLING (PARKFOOT GARAGE),2734,"LONDON ROAD, ME19 5AE",51.30003319999999,0.4061951,142.9,,145.9,,13.10.2021,,14.10.2021,
167,SHELL HAWLEY ROAD (SHELL HAWLEY),3705,"HAWLEY ROAD, DA1 1PU",51.42902549999999,0.2233819,141.9,155.9,145.9,,18.10.2021,16.10.2021,18.10.2021,
168,BP SUNBURY (KEMPTON PARK SF CONNECT),1331,"STAINES ROAD EAST, TW16 5AW",51.415699,-0.4046111000000001,140.9,,144.9,154.9,13.10.2021,,14.10.2021,13.10.2021
169,SHELL EAST MOLESEY (MFG PARKHURST),1326,"HURST ROAD, KT8 1SE",51.4078562,-0.369027,139.9,,143.9,165.9,13.10.2021,,13.10.2021,13.10.2021
170,TESCO SUNBURY EXTRA,1215,"STAINES ROAD WEST, TW16 7BB",51.4179705,-0.425662,138.9,,140,,18.10.2021,,18.10.2021,
171,TEXACO FELTHAM (PARK FELTHAM HILL SERVICE STATION),1236,"SNAKEY LANE, TW13 7ND",51.4306958,-0.4036515,145.9,,147.9,,13.10.2021,,13.10.2021,
172,ESSO EAST MOLESEY (MFG PALACE),1328,"HAMPTON COURT ROAD, KT8 9BW",51.4075713,-0.3465186,139.9,139.9,142.9,,14.10.2021,14.10.2021,14.10.2021,
173,SHELL FELTHAM (SHELL SUNBURY),1237,"COUNTRY WAY, TW13 6QN",51.4340866,-0.3883476,142.9,155.9,144.9,158.9,13.10.2021,13.10.2021,13.10.2021,13.10.2021
174,BP EAST MOLESEY (HAMPTON COURT SF CONNECT),1327,"HAMPTON COURT WAY, KT8 9AE",51.401305,-0.3433674,139.9,153.9,142.9,,13.10.2021,13.10.2021,14.10.2021,
175,ESSO STAINES ROAD WEST (MFG HERDS GARAGE),1210,"STAINES ROAD WEST, TW15 1RZ",51.4223369,-0.4446801,139.9,,148.9,,16.10.2021,,16.10.2021,
176,ESSO HOUNSLOW ROAD (MFG JOLLY SAILOR),1426,"HOUNSLOW ROAD, TW13 6QA",51.4353697,-0.3920036,142.9,,146.9,159.9,18.10.2021,,18.10.2021,12.10.2021
177,BP STAINES ROAD WEST (ASHFORD SF CONNECT),1211,"STAINES ROAD WEST, TW15 1RA",51.42327,-0.44831,139.9,,149.9,,16.10.2021,,16.10.2021,
178,SAINSBURYS ST CLARES,1427,"UXBRIDGE ROAD, TW12 1AW",51.43509220000001,-0.375823,139.9,,140.9,,18.10.2021,,18.10.2021,
179,TESCO FELTHAM,17585,"HIGH STREET, TW13 4EX",51.4426273,-0.4132004,137.9,143.9,139.9,,15.10.2021,13.10.2021,15.10.2021,
180,SHELL STAINES ROAD (SHELL HOSPITAL BRIDGE),1431,"STAINES ROAD, TW2 5JA",51.4393967,-0.3622583,143.9,157.9,146.9,,13.10.2021,13.10.2021,13.10.2021,
181,GULF FELTHAM (BEDFONT LANE SERVICE STATION),12295,"BEDFONT LANE, TW14 9NJ",51.4500705,-0.4174815,144.9,,,,18.10.2021,,,
182,ESSO TWICKENHAM (MFG STAINES ROAD),1432,"STAINES ROAD, TW2 5AW",51.4421329,-0.3527403,143.9,,146.9,165.9,13.10.2021,,14.10.2021,13.10.2021
183,SHELL ASHFORD (SHELL ASHFORD MANOR),1223,"FORDBRIDGE ROAD, TW15 3RX",51.42819799999999,-0.469386,139.9,,148.9,,16.10.2021,,16.10.2021,
184,BP CHERTSEY (CHERTSEY SERVICE STATION),1216,"BRIDGE ROAD, KT16 8LA",51.3889571,-0.4889738,,139.9,145.9,,,14.10.2021,14.10.2021,
185,ESSO STAINES ROAD (MFG BEDFONT),1227,"STAINES ROAD, TW14 8PA",51.4513359,-0.4376115,144.9,,148.9,,18.10.2021,,18.10.2021,
186,ESSO CLOCKHOUSE LANE (CLOCKHOUSE SERVICE STATION),1225,"CLOCKHOUSE LANE, TW14 8RD",51.448216,-0.447778,144.9,,147.9,,13.10.2021,,13.10.2021,
187,JET FELTHAM (BARBERBRIDGE SERVICE STATION),1230,"STAINES ROAD, TW14 0HW",51.4586652,-0.4024487,141.9,,146.9,,13.10.2021,,13.10.2021,
188,TESCO FELTHAM DUKES GREEN,17587,"DUKES GREEN AVENUE, TW14 0LT",51.4593269,-0.4133489,137.9,143.9,139.9,,15.10.2021,13.10.2021,15.10.2021,
189,SHELL RICHMOND ROAD (SHELL KINGSTONIAN),197,"RICHMOND ROAD, KT2 5HD",51.4196673,-0.3016747,,,144.9,158.9,,,13.10.2021,13.10.2021
190,TESCO ASHFORD MIDDLESEX,12298,"TOWN LANE, TW19 7PZ",51.4447931,-0.475784,135.9,141.9,142.9,,18.10.2021,18.10.2021,18.10.2021,
191,BP KINGSTON-UPON-THAMES (HAM CROSS SERVICE STATION),1434,"RICHMOND ROAD, KT2 5QU",51.4303655,-0.3073496,138.9,,142.9,,14.10.2021,,14.10.2021,
192,ESSO STAINES ROAD (MFG HOUNSLOW),1240,"STAINES ROAD, TW4 5BD",51.4644723,-0.3810563,142.9,,147.9,,13.10.2021,,13.10.2021,
193,SAINSBURYS CHERTSEY,1218,"HERIOT ROAD, KT16 9AG",51.3905002,-0.5041004,131.9,140.9,138.9,,16.10.2021,14.10.2021,13.10.2021,
194,SHELL RICHMOND ROAD (SHELL OAK LANE),1436,"RICHMOND ROAD, TW1 3AB",51.448488,-0.325308,143.9,156.9,146.9,159.9,15.10.2021,13.10.2021,13.10.2021,13.10.2021
195,BP FELTHAM (MFG HATTON CROSS),1226,"GREAT SOUTH WEST ROAD, TW14 0PR",51.46569,-0.42381,143.9,,147.9,159.9,14.10.2021,,14.10.2021,12.10.2021
196,TESCO TWICKENHAM EXTRA,1895,"MOGDEN LANE, TW7 7JY",51.45887640000001,-0.3374519,137.9,143.9,139.9,,18.10.2021,13.10.2021,18.10.2021,
197,SHELL LONDON ROAD (SHELL KINGSTON HILL),199,"LONDON ROAD, KT2 6PQ",51.4135991,-0.2879855,143.9,,146.9,159.9,13.10.2021,,13.10.2021,13.10.2021
198,ESSO BEDFONT ROAD (MFG STANWELL),3331,"BEDFONT ROAD, TW19 7LU",51.45777,-0.471303,,,147.9,,,,14.10.2021,
199,SHELL STAINES (SHELL STAINES),1207,"LONDON ROAD, TW18 4HN",51.4363956,-0.5024843999999999,137.9,,142.9,,13.10.2021,,13.10.2021,
200,BP NEW MALDEN (MFG ROSE COTTAGE),1358,"KINGSTON ROAD, KT3 3NS",51.401433,-0.267342,,142.9,146.9,,,14.10.2021,14.10.2021,
201,ESSO ROBIN HOOD WAY (MFG ROBIN HOOD NORTH),1366,"ROBIN HOOD WAY, SW20 0AB",51.4162774,-0.2512578,143.9,143.9,146.9,,17.10.2021,14.10.2021,14.10.2021,
202,ESSO NEW MALDEN (MFG KINGSTON),1362,"MALDEN WAY, KT3 6HF",51.398911,-0.24348,141.9,139.9,145.9,,18.10.2021,14.10.2021,18.10.2021,
203,TESCO NEW MALDEN EXTRA,1365,"BEVERLEY WAY, KT3 4PJ",51.40095220000001,-0.2408229,136.9,144.9,143.9,,16.10.2021,16.10.2021,18.10.2021,
204,SHELL WORPLE ROAD (SHELL PEPYS CORNER),1363,"WORPLE ROAD, SW20 8RE",51.411023,-0.2277438,144.9,158.9,146.9,159.9,18.10.2021,16.10.2021,18.10.2021,16.10.2021
205,CO-OP ROEHAMPTON VALE,1374,"ROEHAMPTON VALE, SW15 3DX",51.44023199999999,-0.2448935,144.9,151.9,147.9,,17.10.2021,13.10.2021,13.10.2021,
206,SHELL MORDEN (SHELL SOUTH MERTON),1382,"MARTIN WAY, SM4 4AW",51.4035569,-0.21375,143.9,156.9,146.9,159.9,16.10.2021,16.10.2021,16.10.2021,16.10.2021
207,BP KINGSTON ROAD (WIMBLEDON CHASE SF CONNECT),205,"KINGSTON ROAD, SW20 8LR",51.4088977,-0.2142926,143.9,155.9,146.9,158.9,16.10.2021,16.10.2021,16.10.2021,16.10.2021
208,SHELL SHEEN ROAD (SHELL BLACKHORSE),7254,"SHEEN ROAD, TW9 1XD",51.4618786,-0.2891292,142.9,,144.9,157.9,15.10.2021,,15.10.2021,14.10.2021
209,SHELL ROEHAMPTON LANE (SHELL WAITROSE ROEHAMPTON),1369,"ROEHAMPTON LANE, SW15 4LB",51.4492498,-0.2381862,142.9,,143.9,156.9,13.10.2021,,13.10.2021,13.10.2021
210,TEXACO UPPER RICHMOND ROAD WEST (EAST SHEEN SERVICE STATION),8079,"UPPER RICHMOND ROAD WEST, SW14 7ED",51.46412309999999,-0.2780626,140.9,,144.9,,14.10.2021,,14.10.2021,
211,SHELL ISLEWORTH (MFG ISLEWORTH),1423,"TWICKENHAM ROAD, TW7 7ES",51.463951,-0.331657,142.9,,145.9,,18.10.2021,,18.10.2021,
212,SAINSBURYS RICHMOND,18398,"LOWER RICHMOND ROAD, TW9 4LT",51.4674445,-0.2867569,138.9,,139.9,,13.10.2021,,13.10.2021,
213,BP LOWER MORTLAKE ROAD (BEACON FILLING STATION),80,"LOWER MORTLAKE ROAD, TW9 2LL",51.46785999999999,-0.28859,140.9,,143.9,,14.10.2021,,14.10.2021,
214,SHELL LOWER RICHMOND ROAD (SHELL RICHMOND),81,"LOWER RICHMOND ROAD, TW9 4LJ",51.46808499999999,-0.283746,,,,,,,,
215,ESSO MERTON ROAD (WIMBLEDON EXPRESS),208,"MERTON ROAD, SW19 1EQ",51.41693919999999,-0.1921061,136.9,,142.9,,17.10.2021,,17.10.2021,
216,ESSO SHEEN LANE (MFG MORTLAKE),8080,"SHEEN LANE, SW14 8LW",51.467265,-0.266858,,139.9,,,,13.10.2021,,
217,ESSO MITCHAM (MFG WANDLE),1412,"BISHOPSFORD ROAD, SM4 6AP",51.3947081,-0.1739387,139.9,,,159.9,13.10.2021,,,12.10.2021
218,SAINSBURYS MERTON,1870,"MERANTUN WAY, SW19 1DD",51.4143919,-0.1826232,135.9,,138.9,,15.10.2021,,15.10.2021,
219,SHELL WESTERN ROAD (SHELL WESTERN ROAD),1179,"WESTERN ROAD, SW19 2QD",51.412538,-0.1782605,138.9,,141.9,155.9,13.10.2021,,13.10.2021,13.10.2021
220,ESSO HIGH STREET (COLLIERS WOOD EXPRESS),1178,"HIGH STREET, SW19 2BN",51.41869450000001,-0.1779818,136.9,,141.9,,13.10.2021,,13.10.2021,
221,SHELL PLOUGH LANE (SHELL PLOUGH LANE),4578,"PLOUGH LANE, SW17 0BW",51.429997,-0.1858236,141.9,,142.9,156.9,16.10.2021,,13.10.2021,13.10.2021
222,ESSO GARRATT LANE (RSS GARRATT LANE),1184,"GARRATT LANE, SW17 0NP",51.43322980000001,-0.1845582,141.9,153.9,142.9,,16.10.2021,13.10.2021,14.10.2021,
223,SHELL ROWAN ROAD (MFG ROWAN ROAD),7241,"ROWAN ROAD, SW16 5JF",51.4080944,-0.1424275,139.9,,144.9,,13.10.2021,,13.10.2021,
224,BP MITCHAM ROAD (RSS FERNSIDE),1112,"MITCHAM ROAD, CR0 3AB",51.39093,-0.13386,139.9,,142.9,156.9,13.10.2021,,13.10.2021,13.10.2021
225,BP TRINITY ROAD (TRINITY SF CONNECT),1156,"TRINITY ROAD, SW17 7HW",51.4373742,-0.1615601,,153.9,142.9,153.9,,13.10.2021,13.10.2021,13.10.2021
226,SHELL MERTON ROAD (HKS RIVERSDALE),1187,"MERTON ROAD, SW18 5JS",51.44663850000001,-0.1983941,139.9,159.9,143.9,163.9,13.10.2021,13.10.2021,13.10.2021,13.10.2021
227,ESSO BALHAM HIGH ROAD (BALHAM EXPRESS),12483,"BALHAM HIGH ROAD, SW17 7BQ",51.4387779,-0.1559101,140.9,,142.9,,13.10.2021,,13.10.2021,
228,UNBRANDED STREATHAM HIGH ROAD (STREATHAM COMMON SERVICE STATION),219,"STREATHAM HIGH ROAD, SW16 3BS",51.4196989,-0.1276945,138.8,145.9,141.8,,15.10.2021,13.10.2021,15.10.2021,
229,TOTAL LONDON (TOTAL NORBURY),1867,"LONDON ROAD, SW16 4DH",51.40736829999999,-0.1208705,137.8,,141.8,,15.10.2021,,15.10.2021,
230,TESCO NORBURY EXPRESS,1102,"LONDON ROAD, CR7 7ND",51.4018044,-0.1180574,139.9,146.9,141.9,,18.10.2021,13.10.2021,18.10.2021,
231,ESSO THORNTON HEATH (NEW PARK EXPRESS),1104,"LONDON ROAD, CR7 6JH",51.3969286,-0.1159123,139,150.9,139.9,,13.10.2021,09.10.2021,13.10.2021,
232,SHELL WEST HILL (MFG PUTNEY),1373,"WEST HILL, SW15 2UE",51.45413199999999,-0.2111382,141.9,159.9,144.9,165.9,13.10.2021,13.10.2021,13.10.2021,13.10.2021
233,ESSO STERNHOLD AVENUE (MFG STREATHAM),1173,"STERNHOLD AVENUE, SW2 4PB",51.439048,-0.12957,142.9,,145.9,165.9,13.10.2021,,14.10.2021,13.10.2021
234,SAINSBURYS BALHAM,1157,"NIGHTINGALE LANE, SW12 8SY",51.4519392,-0.152974,137,,140,,13.10.2021,,13.10.2021,
235,SHELL BALHAM HILL (SHELL BALHAM),1152,"BALHAM HILL, SW12 9DP",51.450784,-0.14742,142.9,,145.9,,13.10.2021,,13.10.2021,
236,SAINSBURYS CRYSTAL PALACE,138,"WHITEHORSE LANE, SE25 6XB",51.39877389999999,-0.0879874,141.9,145.9,145.9,,18.10.2021,14.10.2021,18.10.2021,
237,SHELL WHITEHORSE ROAD (SHELL GLOSTER),137,"WHITEHORSE ROAD, CR0 2LG",51.38748289999999,-0.0965765,141.9,155.9,143.9,157.9,13.10.2021,13.10.2021,13.10.2021,13.10.2021
238,BP SOUTH NORWOOD HILL (MFG SOUTH NORWOOD),140,"SOUTH NORWOOD HILL, SE25 6BS",51.40083,-0.07725,141.9,142.9,145.9,,12.10.2021,13.10.2021,14.10.2021,
239,SHELL PORTLAND ROAD (SHELL SOUTH NORWOOD),142,"PORTLAND ROAD, SE25 4UX",51.3963794,-0.069052,142.9,,145.9,,13.10.2021,,13.10.2021,
240,TEXACO KNIGHTS HILL (PARK KNIGHTS HILL SERVICE STATION),1169,"KNIGHTS HILL, SE27 0QP",51.4232824,-0.1057975,143.9,,145.9,,13.10.2021,,13.10.2021,
241,BP ANERLEY ROAD (CORNWALL LODGE SERVICE STATION),1171,"ANERLEY ROAD, SE20 8AP",51.4131179,-0.0680021,,,144.9,,,,14.10.2021,
242,SHELL GIPSY HILL (SHELL GYPSY HILL),1170,"GIPSY HILL, SE19 1PL",51.423936,-0.083314,142.9,,143.9,,13.10.2021,,16.10.2021,
243,SHELL CRYSTAL PALACE PARADE (SHELL CRYSTAL PALACE),1079,"CRYSTAL PALACE PARADE, SE19 1UN",51.42508300000001,-0.07569,142.9,156.9,143.9,157.9,14.10.2021,14.10.2021,16.10.2021,14.10.2021
244,JET CROYDON ROAD (FIVE STAR SERVICE STATION),1172,"CROYDON ROAD, SE20 7AE",51.4123435,-0.0540455,143.9,,148.9,,16.10.2021,,16.10.2021,
245,TESCO ELMERS END,1129,"CROYDON ROAD, BR3 4AA",51.3969811,-0.0489737,139.9,146.9,141.9,,16.10.2021,16.10.2021,16.10.2021,
246,ESSO LEIGHAM COURT ROAD (MFG STREATHAM),224,"LEIGHAM COURT ROAD, SW16 2RW",51.43274719999999,-0.117064,142.9,,,165.9,13.10.2021,,,13.10.2021
247,TEXACO NORWOOD ROAD (WEST NORWOOD SERVICE STATION),54,"NORWOOD ROAD, SE27 9AF",51.4357147,-0.1044711,143.9,,145.9,,16.10.2021,,13.10.2021,
248,SHELL BECKENHAM (SHELL BECKENHAM),148,"BECKENHAM ROAD, BR3 4RH",51.409754,-0.044416,141.9,,147.9,,13.10.2021,,13.10.2021,
249,BP KIRKDALE (PARK SYDENHAM MOTOR COMPANY),1080,"KIRKDALE, SE26 4QD",51.4278944,-0.0565043,147.9,,149.9,,14.10.2021,,13.10.2021,
250,BP BECKENHAM (PARK BECKENHAM SERVICE STATION),151,"CROYDON ROAD, BR3 3PR",51.4032117,-0.03588,147.9,,149,,14.10.2021,,12.10.2021,
251,ESSO LONDON ROAD (FORESTHILL EXPRESS),51,"LONDON ROAD, SE23 3PE",51.4406815,-0.0593899,138.9,,141.9,,13.10.2021,,13.10.2021,
252,TEXACO CROXTED ROAD (CROXTED MOTORS),48,"CROXTED ROAD, SE24 9DG",51.4484978,-0.0982559,143.9,158.9,145.9,160.9,13.10.2021,13.10.2021,13.10.2021,13.10.2021
253,ESSO A204 (TULSE HILL EXPRESS),56,"A204, SW2 2QB",51.44785479999999,-0.1125835,140.9,,143.9,,13.10.2021,,13.10.2021,
254,SAINSBURYS SYDENHAM,9188,"BELL GREEN, SE26 4PU",51.4287174,-0.0331371,139.9,,142.9,,16.10.2021,,16.10.2021,
255,BP STANSTEAD ROAD (MFG FOREST HILL),1082,"STANSTEAD ROAD, SE23 1HP",51.44239839999999,-0.0445573,,,144.9,,,,14.10.2021,
256,ESSO BROMLEY ROAD (MFG SHORTLANDS),156,"BROMLEY ROAD, BR3 6PG",51.4065509,-0.00752,142.9,,147.9,,18.10.2021,,18.10.2021,
257,SHELL BROMLEY HILL (SHELL HILLBROW),157,"BROMLEY HILL, BR1 4JU",51.4183057,0.001848,139.9,,144.9,,18.10.2021,,18.10.2021,
258,BP WIDMORE ROAD (WIDMORE GREEN SF CONNECT),161,"WIDMORE ROAD, BR1 3AX",51.4068976,0.0281283,139.9,,144.9,153.9,18.10.2021,,18.10.2021,13.10.2021
259,BP BROMLEY ROAD (DOWNHAM SF CONNECT),1054,"BROMLEY ROAD, BR1 4PJ",51.4263335,-0.0064627,139.9,,144.9,,18.10.2021,,18.10.2021,
260,SHELL VERDANT LANE (MFG CATFORD),1857,"VERDANT LANE, SE6 1TP",51.4334656,0.0091414,139.9,,143.9,165.9,13.10.2021,,13.10.2021,13.10.2021
261,ESSO BARING ROAD (GROVE PARK EXPRESS),1055,"BARING ROAD, SE12 0DU",51.4324762,0.0209937,136.9,,141.9,,13.10.2021,,13.10.2021,
262,ESSO BROWNHILL ROAD (RSS CATFORD),8022,"BROWNHILL ROAD, SE6 1AA",51.4452745,-0.007785,139.9,139.9,,,13.10.2021,14.10.2021,,
263,BP MOTTINGHAM ROAD (MOTTINGHAM SF CONNECT),1035,"MOTTINGHAM ROAD, SE9 4QN",51.43783999999999,0.04272,,,,,,,,
264,SHELL SIDCUP ROAD (SHELL MOTTINGHAM),1037,"SIDCUP ROAD, SE9 3AF",51.438966,0.051412,137.9,151.9,139.9,153.9,13.10.2021,13.10.2021,13.10.2021,13.10.2021
265,SHELL SIDCUP ROAD (SHELL SIDCUP),1039,"SIDCUP ROAD, SE9 3AL",51.4347973,0.0629231,137.9,151.9,141.9,,18.10.2021,18.10.2021,18.10.2021,
266,SHELL LEWISHAM HIGH STREET (MFG LEWISHAM),17980,"LEWISHAM HIGH STREET, SE13 6NZ",51.45202829999999,-0.016434,141.9,,144.9,165.9,14.10.2021,,14.10.2021,13.10.2021
267,ESSO SIDCUP ROAD (CLIFTON LEE EXPRESS),217,"SIDCUP ROAD, SE12 8BL",51.4506744,0.0297537,137.9,,136.9,,13.10.2021,,13.10.2021,
268,TEXACO SIDCUP ROAD (LEE SERVICE STATION),216,"SIDCUP ROAD, SE12 8BL",51.4531374,0.0271842,139.9,,143.9,,16.10.2021,,16.10.2021,
269,BP LEE HIGH ROAD (LEE SF CONNECT),213,"LEE HIGH ROAD, SE13 5PQ",51.45883,0.00412,136.9,,,,13.10.2021,,,
270,SHELL FOOTSCRAY ROAD (MFG FOOTSCRAY),1060,"FOOTSCRAY ROAD, SE9 2TD",51.443703,0.0634724,139.9,159.9,141.9,,18.10.2021,18.10.2021,18.10.2021,
271,BP CHISLEHURST (PERRY STREET SF CONNECT),1038,"PERRY STREET, BR7 6HB",51.41763,0.0919,138.9,,140.9,,14.10.2021,,14.10.2021,
272,ESSO ELTHAM HIGH STREET (ELTHAM HIGH STREET EXPRESS),1034,"ELTHAM HIGH STREET, SE9 1DH",51.45151809999999,0.0501243,136.9,,141.9,,13.10.2021,,13.10.2021,
273,UNBRANDED SIDCUP (W J KING GARAGES SIDCUP),1059,"MAIN ROAD, DA14 6PA",51.4270512,0.0958955,143.9,,145.9,,13.10.2021,,13.10.2021,
274,UNBRANDED BEXLEY (W J KING GARAGES BEXLEY),11857,"STEYNTON AVENUE, DA5 3HP",51.4362355,0.1258024,,,,,,,,
275,SHELL SIDCUP (SHELL BLENDON),1020,"BLACKFEN ROAD, DA15 9NT",51.4477487,0.1167906,138.9,151.9,142.9,156.9,15.10.2021,13.10.2021,15.10.2021,13.10.2021
276,BP BEXLEY ROAD (CROWNWOOD SF CONNECT),1025,"BEXLEY ROAD, SE9 2NL",51.4509774,0.0804193,137.9,151.9,141.9,,13.10.2021,13.10.2021,14.10.2021,
277,SAINSBURYS ELTHAM,1024,"FOOTSCRAY ROAD, SE9 2SA",51.4502227,0.0600399,133.9,140.9,136.9,,13.10.2021,14.10.2021,13.10.2021,
278,UNBRANDED WELLING (W J KING GARAGES WELLING),1005,"PARK VIEW ROAD, DA16 1SF",51.4606718,0.1197482,143.9,,145.9,,13.10.2021,,13.10.2021,
279,ESSO BEXLEYHEATH (MFG BROADWAY),1007,"BROADWAY, DA6 8AS",51.457991,0.136395,144.9,159.9,146.9,165.9,13.10.2021,13.10.2021,13.10.2021,13.10.2021
280,SHELL WELLING (SHELL BUDGENS BELLEGROVE),1021,"BELLEGROVE ROAD, DA16 3QS",51.4635833,0.0993344999999999,143.9,,146.9,,13.10.2021,,13.10.2021,
281,JET WELL HALL ROAD (MFG WELL HALL),1023,"WELL HALL ROAD, SE9 6SX",51.4587251,0.0495295,136.9,,141.9,,13.10.2021,,14.10.2021,
282,TEXACO WELLING (ANCHOR SERVICE STATION),1022,"BELLEGROVE ROAD, DA16 3RW",51.466535,0.0839212999999999,142.9,,144.9,,13.10.2021,,13.10.2021,
283,SAINSBURYS CRAYFORD,1016,"STADIUM WAY, DA1 4HW",51.4501562,0.1777417,137.9,142.9,140.9,,16.10.2021,13.10.2021,16.10.2021,
284,SHELL BEXLEYHEATH (MFG BEXLEYHEATH),1009,"LONG LANE, DA7 5AH",51.4656748,0.1472153,144.9,,146.9,,16.10.2021,,13.10.2021,
285,UNBRANDED BEXLEYHEATH (W J KING GARAGES BEXLEYHEATH),1008,"LONG LANE, DA7 5AQ",51.46650160000001,0.1456123,143.9,,145.9,,13.10.2021,,13.10.2021,
286,ESSO PRINCES ROAD (RSS WINSTON),130,"PRINCES ROAD, DA1 2PZ",51.4406823,0.1966381,139.9,,142.9,,13.10.2021,,14.10.2021,
287,BP PRINCES ROAD (MFG ELMS),132,"PRINCES ROAD, DA1 1RB",51.43808929999999,0.2344562,,139.9,143.9,,,14.10.2021,14.10.2021,
288,BP PRINCES ROAD (RSS DARTFORD),127,"PRINCES ROAD, DA1 1YT",51.437628,0.237489,139.9,,142.9,,13.10.2021,,14.10.2021,
289,ESSO DARTFORD ROAD (DARTFORD EXPRESS),129,"DARTFORD ROAD, DA1 3EN",51.4470102,0.1999736,139.9,,142.9,,16.10.2021,,16.10.2021,
290,SHELL LONDON ROAD (SHELL INVICTUS),17508,"LONDON ROAD, DA2 6AS",51.4424575,0.2421874,141.9,,143.9,157.9,13.10.2021,,13.10.2021,13.10.2021
291,SHELL BURNHAM ROAD (SHELL BURNHAM ROAD),125,"BURNHAM ROAD, DA1 5BN",51.454633,0.2080579,143.9,,145.9,,16.10.2021,,13.10.2021,
292,SHELL ERITH (SHELL ERITH),1014,"NORTHEND ROAD, DA8 3RF",51.4663727,0.1815354,143.9,156.9,145.9,,16.10.2021,13.10.2021,13.10.2021,
293,ASDA GREENHITHE,25051,"STATION ROAD, DA9 9BT",51.45245749999999,0.2771778,136.7,,139.7,,13.10.2021,,13.10.2021,
