,name,station_id,station_location,lat,lng,unleaded,super_unleaded,diesel,premium_diesel,station_unleaded_date,station_super_unleaded_date,station_diesel_date,station_premium_diesel_date
32,SAINSBURYS BURPHAM,18219,"CLAY LANE, GU4 7JU",51.26171160000001,-0.5465498999999999,137.9,,139.9,,17.10.2021,,17.10.2021,
33,SHELL PORTSMOUTH ROAD (MFG LONG DITTON),190,"PORTSMOUTH ROAD, KT7 0XF",51.39023150000001,-0.324028,141.9,,145.9,,17.10.2021,,17.10.2021,
34,ESSO COBHAM (MFG BEECH),881,"STOKE ROAD, KT11 3AS",51.324725,-0.399429,,159.9,146.9,,,13.10.2021,14.10.2021,
35,BP GUILDFORD ROAD (MFG SHIRLEY),9634,"GUILDFORD ROAD, KT23 4HB",51.26928789999999,-0.3871439,,,,,,,,
36,ESSO HIGH STREET (MFG OXSHOTT),1321,"HIGH STREET, KT22 0JR",51.3325435,-0.3565636,,,146.9,165.9,,,14.10.2021,13.10.2021
37,BP KINGSTON ROAD (LEATHERHEAD SF CONNECT),184,"KINGSTON ROAD, KT22 7BL",51.29823320000001,-0.3303851,,,141.9,,,,14.10.2021,
38,JET WEST BYFLEET (MFG OYSTER LANE),1311,"OYSTER LANE, KT14 7JH",51.34632300000001,-0.4804754000000001,,,142.9,,,,14.10.2021,
39,BP HERSHAM ROAD (HKS HALFWAY HOUSE),1319,"HERSHAM ROAD, KT12 5NR",51.3733,-0.40589,138.9,,141.9,,13.10.2021,,13.10.2021,
40,ESSO WEST BYFLEET (WEST BYFLEET EXPRESS),2577,"OLD WOKING ROAD, KT14 6JA",51.3360474,-0.5063563,137.9,,139.9,,13.10.2021,,13.10.2021,
41,ESSO LONDON ROAD (RSS PIPPBROOK),3049,"LONDON ROAD, RH4 1JA",51.23766089999999,-0.3246096,139.9,,143.9,,13.10.2021,,14.10.2021,
42,BP DORKING (DORKING SERVICE CENTRE),5527,"REIGATE ROAD, RH4 1SG",51.2344804,-0.3262643,,139.9,143.9,,,13.10.2021,14.10.2021,
43,ESSO STATION ROAD (MFG DOWNSIDE),9606,"STATION ROAD, GU5 9LQ",51.221117,-0.4498346,139.9,139.9,142.9,,13.10.2021,14.10.2021,13.10.2021,
44,BP MOLESEY ROAD (MOLESEY SERVICE STATION),1325,"MOLESEY ROAD, KT12 3PW",51.386731,-0.386635,136.9,138.9,144.9,,12.10.2021,14.10.2021,13.10.2021,
45,JET WOKING (COLLEGE SERVICE STATION),5866,"COLLEGE ROAD, GU22 8BT",51.3226952,-0.5404492,,,,,,,,
46,TESCO ADDLESTONE EXTRA,5248,"STATION ROAD, KT15 2AS",51.371996,-0.4887124,134.9,138.9,138.9,,13.10.2021,12.10.2021,13.10.2021,
47,SHELL ADDLESTONE (SHELL ADDLESTONE),1306,"CHERTSEY ROAD, KT15 2ED",51.376677,-0.492526,139.9,,143.9,,13.10.2021,,13.10.2021,
48,TEXACO TATTENHAM CRESCENT (TATTENHAM CORNER SERVICE STATION),1818,"TATTENHAM CRESCENT, KT18 5QJ",51.3099524,-0.2417202,,,,160.9,,,,12.10.2021
49,TEXACO SHELVERS HILL (MFG TADWORTH),1819,"SHELVERS HILL, KT20 5PU",51.297194,-0.2378789,,,145.9,,,,14.10.2021,
50,ASDA BURGH HEATH AUTOMAT,26230,"REIGATE ROAD, KT20 5NZ",51.3093164,-0.222075,136.7,,140.7,,17.10.2021,,17.10.2021,
51,SHELL BANSTEAD (SHELL WAITROSE BURGH HEATH),1825,"BRIGHTON ROAD, KT20 6AA",51.3062905,-0.2196261,145.9,155.9,145.9,159.9,18.10.2021,13.10.2021,13.10.2021,13.10.2021
52,ESSO EPSOM (EWELL EXPRESS),1402,"REIGATE ROAD, KT17 1PG",51.34510179999999,-0.2489555,139.9,,139.9,,15.10.2021,,15.10.2021,
53,SHELL BUCKLAND (SHELL BUCKLAND),4431,"REIGATE ROAD, RH3 7ET",51.2453632,-0.258669,141.9,,143.9,157.9,13.10.2021,,13.10.2021,13.10.2021
54,TEXACO BRIGHTON ROAD (PARK MOGADOR SERVICE STATION),1821,"BRIGHTON ROAD, KT20 6SU",51.2708424,-0.2117363,145.9,,147.9,,16.10.2021,,16.10.2021,
55,BP TADWORTH (OAK TREE SF CONNECT),1824,"BRIGHTON ROAD, KT20 6SY",51.2702524,-0.2121036,143.9,157.9,146.9,157.9,13.10.2021,13.10.2021,14.10.2021,13.10.2021
56,SHELL EPSOM (SHELL ETWELLE),1388,"EWELL BYPASS, KT17 2PU",51.35452309999999,-0.2467904,141.9,,142.9,,13.10.2021,,13.10.2021,
57,BP LONDON ROAD (EWELL SF CONNECT),1387,"LONDON ROAD, KT17 2PT",51.35448830000001,-0.2448898,141.9,,142.9,,14.10.2021,,14.10.2021,
58,SHELL TADWORTH (SHELL OXFORD HOUSE),1823,"BRIGHTON ROAD, KT20 6UP",51.2679744,-0.20807,144.9,,147,159.9,16.10.2021,,16.10.2021,13.10.2021
59,SHELL EWELL (KINGSTON ROAD SERVICE STATION),1389,"KINGSTON ROAD, KT19 0SH",51.36427219999999,-0.258091,141.9,,145.9,159.9,13.10.2021,,13.10.2021,13.10.2021
60,ESSO REIGATE (RSS REIGATE MANOR),19,"REIGATE HILL, RH2 9PD",51.2500815,-0.202269,141.9,153.9,145.9,,16.10.2021,16.10.2021,16.10.2021,
61,ESSO CHEAM (CHEAM EXPRESS),1386,"MALDEN ROAD, SM3 8HB",51.3610931,-0.2176894,141.9,,142.9,,16.10.2021,,16.10.2021,
62,BP ST DUNSTANS HILL (ST DUNSTANS SERVICE STATION),1385,"ST DUNSTANS HILL, SM1 2LW",51.3649307,-0.2140643,141.9,,142.9,,16.10.2021,,16.10.2021,
63,SAINSBURYS NORTH CHEAM,12511,"LONDON ROAD, SM3 9AA",51.3728248,-0.2247965,136.9,140.9,138.9,,18.10.2021,18.10.2021,18.10.2021,
64,ESSO SUTTON (NORTH CHEAM EXPRESS),1379,"LONDON ROAD, SM3 9BY",51.3755835,-0.2226046,136.9,149.9,142.9,155.9,16.10.2021,16.10.2021,16.10.2021,16.10.2021
65,TESCO SUTTON CHEAM EXTRA,12514,"OLDFIELDS ROAD, SM1 2NB",51.3750386,-0.2066696,138.9,143.9,140.9,,17.10.2021,11.10.2021,17.10.2021,
66,BP BANSTEAD (HIGHFIELD SF CONNECT),1827,"BRIGHTON ROAD, SM7 1AZ",51.3171487,-0.2113205,,,,,,,,
67,ESSO SURBITON (TOLWORTH EXPRESS),1355,"THE BROADWAY, KT6 7DQ",51.3819423,-0.2835743,140,,143.9,,13.10.2021,,13.10.2021,
68,SHELL SUTTON (SHELL SUTTON),1421,"CHEAM ROAD, SM1 2SS",51.361303,-0.2002391,143.9,,148.9,162.9,13.10.2021,,13.10.2021,13.10.2021
69,BP BRIGHTON ROAD (MFG SUTTON COURT SERVICE STATION),1419,"BRIGHTON ROAD, SM2 5BN",51.35753,-0.19165,,141.9,147.9,,,14.10.2021,14.10.2021,
70,BP COULSDON (STAR LANE SERVICE CENTRE),1830,"BRIGHTON LANE, CR5 3EE",51.2933225,-0.1541707,,141.9,144.9,,,13.10.2021,14.10.2021,
71,ESSO BRIGHTON ROAD (RSS HOOLEY),1831,"BRIGHTON ROAD, CR5 3EG",51.2910656,-0.1543499,141.9,155.9,143.9,157.9,13.10.2021,13.10.2021,14.10.2021,13.10.2021
72,ESSO CHIPSTEAD VALLEY ROAD (MFG COULSDON),1828,"CHIPSTEAD VALLEY ROAD, CR5 3BR",51.3190227,-0.1494101,139.9,153.9,143.9,158.9,13.10.2021,09.10.2021,14.10.2021,09.10.2021
73,ESSO HIGH STREET (MFG MERSTHAM),18,"HIGH STREET, RH1 3EA",51.2651377,-0.1526195,141.9,141.9,145.9,,13.10.2021,14.10.2021,14.10.2021,
74,ESSO LONDON ROAD (MFG GATTON POINT),17,"LONDON ROAD, RH1 2JH",51.2538165,-0.1646841,141.9,,145.9,,13.10.2021,,14.10.2021,
75,SHELL COULSDON (SHELL OLD COULSDON),1833,"COULSDON ROAD, CR5 1EN",51.30097749999999,-0.1174736,142.9,,145.9,,13.10.2021,,13.10.2021,
76,TESCO PURLEY EXTRA,172,"PURLEY ROAD, CR8 2HA",51.3359059,-0.1174799,137.9,143.9,139.9,,16.10.2021,11.10.2021,16.10.2021,
77,SHELL PURLEY (MFG FOXLEY),170,"GODSTONE ROAD, CR8 2DB",51.3359543,-0.1138607,142.9,,145.9,159.9,16.10.2021,,16.10.2021,11.10.2021
78,ESSO CATERHAM (MFG TOWNEND),1832,"TOWNEND, CR3 5UG",51.2888656,-0.0893876,142.9,,144.9,165.9,17.10.2021,,14.10.2021,13.10.2021
79,TEXACO CATERHAM (ELITE GARAGES CATERHAM),4982,"HIGH STREET, CR3 5UF",51.2859178,-0.0881334999999999,141.9,,144.9,,17.10.2021,,13.10.2021,
