,name,station_id,station_location
61,ESSO CHEAM (CHEAM EXPRESS),1386,"MALDEN ROAD, SM3 8HB"
62,BP ST DUNSTANS HILL (ST DUNSTANS SERVICE STATION),1385,"ST DUNSTANS HILL, SM1 2LW"
63,SAINSBURYS NORTH CHEAM,12511,"LONDON ROAD, SM3 9AA"
64,ESSO SUTTON (NORTH CHEAM EXPRESS),1379,"LONDON ROAD, SM3 9BY"
65,TESCO SUTTON CHEAM EXTRA,12514,"OLDFIELDS ROAD, SM1 2NB"
66,BP BANSTEAD (HIGHFIELD SF CONNECT),1827,"BRIGHTON ROAD, SM7 1AZ"
67,ESSO SURBITON (TOLWORTH EXPRESS),1355,"THE BROADWAY, KT6 7DQ"
68,SHELL SUTTON (SHELL SUTTON),1421,"CHEAM ROAD, SM1 2SS"
69,BP BRIGHTON ROAD (MFG SUTTON COURT SERVICE STATION),1419,"BRIGHTON ROAD, SM2 5BN"
70,BP COULSDON (STAR LANE SERVICE CENTRE),1830,"BRIGHTON LANE, CR5 3EE"
71,ESSO BRIGHTON ROAD (RSS HOOLEY),1831,"BRIGHTON ROAD, CR5 3EG"
72,ESSO CHIPSTEAD VALLEY ROAD (MFG COULSDON),1828,"CHIPSTEAD VALLEY ROAD, CR5 3BR"
73,ESSO HIGH STREET (MFG MERSTHAM),18,"HIGH STREET, RH1 3EA"
74,ESSO LONDON ROAD (MFG GATTON POINT),17,"LONDON ROAD, RH1 2JH"
75,SHELL COULSDON (SHELL OLD COULSDON),1833,"COULSDON ROAD, CR5 1EN"
76,TESCO PURLEY EXTRA,172,"PURLEY ROAD, CR8 2HA"
77,SHELL PURLEY (MFG FOXLEY),170,"GODSTONE ROAD, CR8 2DB"
78,ESSO CATERHAM (MFG TOWNEND),1832,"TOWNEND, CR3 5UG"
79,TEXACO CATERHAM (ELITE GARAGES CATERHAM),4982,"HIGH STREET, CR3 5UF"
80,BP WHYTELEAFE (GODSTONE ROAD SF CONNECT),1,"GODSTONE ROAD, CR3 0EG"
81,BP REIGATE (WOODHATCH SERVICE STATION),7979,"DOVER GREEN ROAD, RH2 8BS"
82,SHELL WHYTELEAFE (SHELL WAITROSE WHYTELEAFE),3,"GODSTONE ROAD, CR3 0BB"
83,ESSO PURLEY WAY (PURLEY WAY SERVICE STATION),1110,"PURLEY WAY, CR0 4RE"
84,BP CARSHALTON ROAD (CAMBRIDGE ROAD SF CONNECT),5579,"CARSHALTON ROAD, SM5 3QB"
85,BP REDHILL (HILLSIDE SF CONNECT),23,"BRIGHTON ROAD, RH1 6QS"
86,SHELL WALLINGTON (SHELL BUDGENS WALLINGTON),176,"MANOR ROAD, SM6 0DW"
87,ESSO PURLEY (MFG HAYLING DOWN),171,"BRIGHTON ROAD, CR8 2BA"
88,BP GREEN WRYTHE LANE (WRYTHE SF CONNECT),1414,"GREEN WRYTHE LANE, SM5 2DR"
89,SHELL CARSHALTON (SHELL ST HELIER),1413,"WRYTHE LANE, SM5 2RU"
90,UNBRANDED CATERHAM (GRIFFIN),4,"CROYDON ROAD, CR3 6PN"
91,ESSO WARLINGHAM (MFG WARLINGHAM),5,"LIMPSFIELD ROAD, CR6 9LA"
92,SHELL LIMPSFIELD ROAD (SHELL SANDERSTEAD),9,"LIMPSFIELD ROAD, CR2 9LE"
93,SHELL BRIGHTON ROAD (BRIGHTON ROAD SERVICE STATION),1116,"BRIGHTON ROAD, CR2 6AJ"
94,ESSO BRIGHTON ROAD (MFG WHITGIFT),1115,"BRIGHTON ROAD, CR2 6EE"
95,ESSO SELSDON PARK ROAD (RSS FORESTDALE),1119,"SELSDON PARK ROAD, CR2 8JT"
96,SHELL KENT GATE WAY (SHELL ADDINGTON),1121,"KENT GATE WAY, CR0 5AR"
97,ESSO PURLEY WAY (MFG WADDON COURT),1109,"PURLEY WAY, CR0 4NX"
98,ESSO OXTED (RSS OLD OXTED),11613,"HIGH STREET, RH8 9LN"
99,SHELL OXTED (SHELL OXTED),7188,"CHURCH LANE, RH8 9NB"
100,BP BEDDINGTON LANE (BEDDINGTON LANE SERVICE STATION),1114,"BEDDINGTON LANE, CR0 4TJ"
101,SAINSBURYS PURLEY WAY,1107,"PURLEY WAY, CR0 3JW"
102,ASDA WALLINGTON AUTOMAT,26017,"MARLOWE WAY, CR0 4XS"
103,TEXACO MAIN ROAD (CO-OP APERFIELD COURT),12366,"MAIN ROAD, TN16 3DX"
104,ESSO SHIRLEY ROAD (CROYDON EXPRESS),12513,"SHIRLEY ROAD, CR0 7ER"
105,SHELL EASTBOURNE ROAD (HKS SOUTH GODSTONE),7983,"EASTBOURNE ROAD, RH9 8EZ"
106,SHELL GODSTONE HILL (SHELL GODSTONE),4435,"GODSTONE HILL, RH9 8AJ"
107,BP SOUTH CROYDON (ADDINGTON SF CONNECT),1120,"SELSDON PARK ROAD, CR2 8JH"
108,SHELL PARKWAY (SHELL CROYDON),3669,"PARKWAY, CR0 0LA"
109,BP MITCHAM ROAD (MITCHAM ROAD SF CONNECT),1111,"MITCHAM ROAD, CR0 3RU"
110,ESSO LOWER ADDISCOMBE ROAD (ADDISCOMBE EXPRESS),1126,"LOWER ADDISCOMBE ROAD, CR0 6AD"
111,BP SHIRLEY ROAD (SHIRLEY SF CONNECT),1122,"SHIRLEY ROAD, CR0 8SS"
112,ESSO WICKHAM ROAD (WEST WICKHAM EXPRESS),1864,"WICKHAM ROAD, CR0 8DN"
113,M25 CLACKET LANE CONNECT MOTORWAY SERVICE AREA EASTBOUND,10619,"M25 J5-6, TN16 2ER"
114,SHELL LEAVES GREEN ROAD (TOLLGATE SERVICE STATION),1838,"LEAVES GREEN ROAD, BR2 6DQ"
115,BP LONDON ROAD (WESTERHAM SERVICE STATION),5657,"LONDON ROAD, TN16 2DJ"
116,SHELL CROYDON ROAD (RAVENSBOURNE SERVICE STATION),165,"CROYDON ROAD, BR2 8HU"
117,BP CROFTON ROAD (ROSETTA SF CONNECT),164,"CROFTON ROAD, BR6 8NL"
118,SHELL HIGH STREET (SHELL GREEN STREET),1089,"HIGH STREET, BR6 6BJ"
119,SHELL STATION APPROACH (PARK HAYES SERVICE STATION),1863,"STATION APPROACH, BR2 7EQ"
120,TEXACO FARNBOROUGH WAY (PARK FARNBOROUGH HILL SERVICE STATION),1087,"FARNBOROUGH WAY, BR6 7ET"
121,SHELL HASTINGS ROAD (SHELL BROMLEY),163,"HASTINGS ROAD, BR2 8NJ"
122,BP HASTINGS ROAD (TUDOR AUTOS),162,"HASTINGS ROAD, BR2 8NA"
123,ESSO SEVENOAKS ROAD (RSS CHIMES),1097,"SEVENOAKS ROAD, BR6 7SE"
124,TEXACO SEVENOAKS ROAD (PARK ORPINGTON SERVICE STATION),1091,"SEVENOAKS ROAD, BR6 9JW"
125,ESSO LINKS WAY (MFG EDEN PARK),168,"LINKS WAY, BR3 3DG"
126,ESSO BROMLEY (BROMLEY EXPRESS),2060,"WESTMORELAND ROAD, BR2 0UJ"
127,UNBRANDED BROMLEY (W J KING GARAGES BROMLEY),1084,"BROMLEY COMMON, BR2 9RW"
128,BP COURT ROAD (GODDINGTON SF CONNECT),1096,"COURT ROAD, BR6 9DA"
129,M25 CLACKET LANE CONNECT MOTORWAY SERVICE AREA WESTBOUND,10620,"M25 J5-6, TN16 2ER"
130,SHELL WEST WICKHAM (MFG WEST WICKHAM),169,"HIGH STREET, BR4 0LU"
131,UNBRANDED SEVENOAKS (KNOCKHOLT SERVICE STATION),1101,"MAIN ROAD, TN14 7JJ"
132,SHELL QUEENSWAY (SHELL WAITROSE PETTS WOOD),1095,"QUEENSWAY, BR5 1DH"
133,TESCO SEVENOAKS RIVERHEAD,17726,"AISHER WAY, TN13 2QS"
134,SHELL LONDON ROAD (SHELL WAITROSE TUBS HILL),4615,"LONDON ROAD, TN13 1DH"
135,SAINSBURYS SEVENOAKS,17552,"OTFORD ROAD, TN14 5EG"
136,SHELL SEAL ROAD (MFG SEVENOAKS),252,"SEAL ROAD, TN14 5AX"
137,TEXACO HIGH STREET (ORPINGTON POND SERVICE STATION),1092,"HIGH STREET, BR6 0JG"
138,ESSO EDENBRIDGE (MFG CHAMPION),3289,"STATION ROAD, TN8 6HL"
139,CO-OP SWANLEY,1070,"HIGH STREET, BR8 8AF"
140,TEXACO WEST KINGSDOWN (PARK TWENTY MILE SERVICE STATION),8108,"LONDON ROAD, TN15 6ET"
141,BP SWANLEY (SWANLEY SERVICE STATION),1067,"LONDON ROAD, BR8 7HA"
142,UNBRANDED SWANLEY (W J KING GARAGES SWANLEY),1066,"LONDON ROAD, BR8 7QD"
143,UNBRANDED DARTFORD (W J KING GARAGES FARNINGHAM ROAD),11821,"DARTFORD ROAD, DA4 0DX"
144,BP SWANLEY BYPASS (RSS SWANLEY),1073,"SWANLEY BYPASS, DA14 5JA"
145,TESCO SIDCUP,1064,"EDGINGTON WAY, DA14 5BN"
146,BP SEVENOAKS (MFG ST JOHNS HILL),253,"ST JOHNS HILL, TN13 3NY"
147,UNBRANDED EDENBRIDGE (FOUR ELMS FILLING STATION),7250,"FOUR ELMS ROAD, TN8 6NL"
148,ESSO SEVENOAKS WAY (ST PAULS CRAY EXPRESS),1093,"SEVENOAKS WAY, BR5 3AQ"
149,TEXACO CHIPPERFIELD ROAD (MFG ST PAULS CRAY),1094,"CHIPPERFIELD ROAD, BR5 2QR"
150,GULF EDENBRIDGE (MILL HILL GARAGE),4627,"MILL HILL, TN8 5DQ"
151,ESSO SEVENOAKS (MFG BRACKENHILL),3268,"MAIDSTONE ROAD, TN15 8HG"
152,SHELL LONDON ROAD (SHELL PILGRIMS WAY),7245,"LONDON ROAD, TN15 7RR"
153,UNBRANDED LONDON ROAD (STATE OIL HILDENBOROUGH SERVICE STATION),18185,"LONDON ROAD, TN11 9ND"
154,SHELL LONDON ROAD (PARK WROTHAM HEATH SERVICE STATION),12508,"LONDON ROAD, TN15 7RX"
155,JET WEST MALLING (MFG OFFHAM),4147,"LONDON ROAD, ME19 5AL"
156,BP TONBRIDGE ROAD (HILDEN SF CONNECT),5654,"TONBRIDGE ROAD, TN11 9BJ"
157,TEXACO WROTHAM ROAD (CULVERSTONE SERVICE STATION),7540,"WROTHAM ROAD, DA13 0RF"
158,SHELL SHIPBOURNE ROAD (MFG SHIPBOURNE ROAD),5653,"SHIPBOURNE ROAD, TN10 3ED"
